ID,字首注音,語句,長度,注音數,"加選字小計(1st)
可能還有換頁鍵"
1,ㄅ,爸爸正在看報紙,7,20,27
2,ㄅ,不可能馬上就恢復原狀,10,33,43
3,ㄅ,本來我們想去逛街,8,26,34
4,ㄆ,評估軟體的綜合效能,9,29,38
5,ㄆ,徘徊在人生的十字路口,10,28,38
6,ㄆ,陪爸爸去看醫生,7,19,26
7,ㄇ,門口有監視攝影機,8,23,31
8,ㄇ,明天可能會下雨,7,23,30
9,ㄇ,忙著工作卻忘記吃飯,9,28,37
10,ㄈ,發現這個遊戲很好玩,9,27,36
11,ㄈ,煩惱怎麼突破障礙,8,25,33
12,ㄈ,放在那邊就可以了,8,23,31
13,ㄉ,電腦的軟體有問題,8,26,34
14,ㄉ,答案明天正式揭曉,8,25,33
15,ㄉ,大家對這件事都很熱心,10,30,40
16,ㄊ,他不知該如何走出陰霾,10,25,35
17,ㄊ,討論專案的細節,7,22,29
18,ㄊ,堤防外的河濱公園,8,24,32
19,ㄋ,那不然這樣如何,7,25,32
20,ㄋ,你們家附近有公園嗎,9,27,36
21,ㄋ,能不能請您幫忙,7,22,29
22,ㄌ,羅馬有很多教堂跟古蹟,10,32,42
23,ㄌ,冷靜思考後再行動,8,27,35
24,ㄌ,垃圾車怎麼還沒來,8,23,31
25,ㄍ,感謝大家的支持,7,21,28
26,ㄍ,公園裡有健身設施,8,24,32
27,ㄍ,關於未來規畫的想法,9,28,37
28,ㄎ,客廳布置得很漂亮,8,26,34
29,ㄎ,看來颱風就要來了,8,26,34
30,ㄎ,快要到終點了,6,20,26
31,ㄏ,會議裡談到了那件事,9,27,36
32,ㄏ,回到家就只想放鬆,8,26,34
33,ㄏ,還是換這件衣服吧,8,24,32
34,ㄐ,今天一定要寫信告訴您,10,32,42
35,ㄐ,教室裡有很多電腦,8,25,33
36,ㄐ,雞腿便當很好吃,7,21,28
37,ㄑ,其他要注意的事情有,9,25,34
38,ㄑ,秋天就要吃螃蟹,7,21,28
39,ㄑ,晴天讓人心情愉快,8,25,33
40,ㄒ,謝謝你的誇獎,6,21,27
41,ㄒ,想不想去逛夜市,7,23,30
42,ㄒ,下雨天就不想出門,8,25,33
43,ㄓ,這朵花真的好漂亮,8,26,34
44,ㄓ,祝你一切平安,6,17,23
45,ㄓ,這裡交通很方便,7,21,28
46,ㄔ,差不多這樣就可以了,9,26,35
47,ㄔ,廚房裡有很多鍋子,8,23,31
48,ㄔ,遲到會讓人生氣,7,20,27
49,ㄕ,什麼東西這麼香,7,21,28
50,ㄕ,山上有什麼名產呢,8,23,31
51,ㄕ,睡眠品質是很重要的,9,29,38
52,ㄖ,讓我來幫你吧,6,17,23
53,ㄖ,熱心的民眾幫助了她,9,27,36
54,ㄖ,如果明天約吃飯呢,8,23,31
55,ㄗ,昨天有人送她一束花,9,27,36
56,ㄗ,早上十點有一場會議,9,25,34
57,ㄗ,怎樣做才能達成目標,9,28,37
58,ㄘ,從事公益慈善活動,8,24,32
59,ㄘ,村長是個熱心服務的人,10,28,38
60,ㄘ,測驗的結果滿意嗎,8,24,32
61,ㄙ,森林裡有許多小動物,9,28,37
62,ㄙ,所以我決定去學習專業知識,12,36,48
63,ㄙ,思考如何再進化,7,22,29
64,ー,也許事情不如預期,8,23,31
65,ー,衣服被雨水打溼了,8,22,30
66,ー,醫生要我好好休息,8,22,30
67,ㄨ,完成了艱難的任務,8,24,32
68,ㄨ,晚上全家人一起吃飯,9,25,34
69,ㄨ,我覺得身體不舒服,8,23,31
70,ㄩ,愉快又充實的一天,8,21,29
71,ㄩ,宇宙是個未知的領域,9,24,33
72,ㄩ,於是她決定面對挑戰,9,29,38
73,ㄚ,阿姨住在美國舊金山,9,25,34
74,ㄜ,餓肚子真讓人受不了,9,25,34
75,ㄞ,愛惜身邊的人事物,8,20,28
76,ㄠ,遨遊天際的飛行員,8,23,31
77,ㄡ,歐洲的歷史很複雜,8,20,28
78,ㄢ,按下開關啟動電腦,8,25,33
79,ㄢ,安全性需要加強,7,21,28
80,ㄦ,而且還有很多朋友可以幫忙,12,34,46
,,平均數,8.17721519,24.5443038,32.72151899
,,標準差,1.158075663,3.603597886,4.652462938
